Link,Address,Anunciante,Area,Tipo,Room,Bath,Park,Price
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-91m2-venda-RS400000-id-2671564066/,"Rua Milton Manoel dos Santos, 152 - Jardim Camburi, Vitória - ES",N/A,91,Apartamento,3   Quartos,3   Banheiros,2   Vagas,R$ 400.000
/imoveis-lancamento/dona-guilhermina-direto-construtora-2659392154/,"Rua Madeira de Freitas, 249 - Praia do Canto, Vitória - ES",N/A,100,DONA,3   Quartos,3   Banheiros,2   Vagas,R$ 980.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-72m2-venda-RS640000-id-2671415461/,"Rua Milton Ramalho Simões, 130 - Jardim Camburi, Vitória - ES",N/A,72,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 640.000
/imovel/sobrado-3-quartos-mata-da-praia-bairros-vitoria-com-garagem-200m2-venda-RS620000-id-2671295603/,"Rua Paulo Silva, 50 - Mata da Praia, Vitória - ES",N/A,200,Casa,3   Quartos,3   Banheiros,2   Vagas,R$ 620.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-60m2-venda-RS549000-id-2671468801/,"Rua Antiocho Carneiro de Mendonça, 65 - Jardim Camburi, Vitória - ES",N/A,60,Apartamento,2   Quartos,1   Banheiro,1   Vaga,R$ 549.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-80m2-venda-RS395000-id-2671519915/,"Rua Agenor Amaro dos Santos, 100 - Jardim Camburi, Vitória - ES",N/A,80,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 395.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-49m2-venda-RS630000-id-2671248423/,"Rua José Guilherme Neffa, 56 - Jardim Camburi, Vitória - ES",N/A,49,Apartamento,2   Quartos,1   Banheiro,1   Vaga,R$ 630.000
/imovel/apartamento-2-quartos-bento-ferreira-bairros-vitoria-com-garagem-68m2-venda-RS570000-id-2671263063/,"Rua Aluysio Simões - Bento Ferreira, Vitória - ES",N/A,68,Apartamento,2   Quartos,2   Banheiros,2   Vagas,R$ 570.000      Preço abaixo do mercado
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-100m2-venda-RS780000-id-2642340773/,"Jardim Camburi, Vitória - ES",N/A,100,Apartamento,3   Quartos,3   Banheiros,2   Vagas,R$ 780.000
/imovel/casa-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-270m2-venda-RS430000-id-2671191094/,"Rua Silvino Grecco - Jardim Camburi, Vitória - ES",N/A,270,Casa,3   Quartos,3   Banheiros,4   Vagas,R$ 430.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-60m2-venda-RS530000-id-2671389701/,"Rua Manoel Barros da Costa - Jardim Camburi, Vitória - ES",N/A,60,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 530.000
/imovel/casa-3-quartos-lourdes-bairros-vitoria-com-garagem-250m2-venda-RS740000-id-2671039898/,"Rua Santa Rita de Cássia - Lourdes, Vitória - ES",N/A,250,Casa,3   Quartos,3   Banheiros,1   Vaga,R$ 740.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-60m2-venda-RS380000-id-2671254194/,"Avenida Augusto Emílio Estelita Lins, 34 - Jardim Camburi, Vitória - ES",N/A,60,Apartamento,2   Quartos,1   Banheiro,1   Vaga,R$ 380.000
/imovel/apartamento-3-quartos-jardim-da-penha-bairros-vitoria-com-garagem-116m2-venda-RS950000-id-2670782411/,"Rua Maria Eleonora Pereira, 1 - Jardim da Penha, Vitória - ES",N/A,116,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 950.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-50m2-venda-RS440000-id-2671154103/,"Avenida Doutor Herwan Modenese Wanderley, 615 - Jardim Camburi, Vitória - ES",N/A,50,Apartamento,2   Quartos,1   Banheiro,1   Vaga,R$ 440.000
/imovel/apartamento-2-quartos-enseada-do-sua-bairros-vitoria-com-garagem-68m2-venda-RS700000-id-2671416245/,"Rua Leocádia Pedra dos Santos, 23 - Enseada do Suá, Vitória - ES",N/A,68,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 700.000      Preço abaixo do mercado
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-77m2-venda-RS777373-id-2671393572/,"Avenida Engenheiro Charles Bitran, 500 - Jardim Camburi, Vitória - ES",N/A,77,Apartamento,3   Quartos,2   Banheiros,1   Vaga,R$ 777.373
/imovel/apartamento-2-quartos-sao-pedro-bairros-vitoria-com-garagem-85m2-venda-RS220000-id-2671292167/,"Avenida Beira Mar - São Pedro, Vitória - ES",N/A,85,Apartamento,2   Quartos,1   Banheiro,1   Vaga,R$ 220.000
/imovel/apartamento-3-quartos-enseada-do-sua-bairros-vitoria-com-garagem-96m2-venda-RS850000-id-2671292168/,"Rua Taciano Abaurre - Enseada do Suá, Vitória - ES",N/A,96,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 850.000
/imovel/apartamento-3-quartos-santa-helena-bairros-vitoria-com-garagem-115m2-venda-RS650000-id-2636063902/,"Avenida Nossa Senhora da Penha - Santa Helena, Vitória - ES",N/A,115,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 650.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-67m2-venda-RS590000-id-2664473798/,"Rua Esméria Barros Deorce, 470 - Jardim Camburi, Vitória - ES",N/A,67,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 590.000
/imovel/apartamento-3-quartos-bento-ferreira-bairros-vitoria-com-garagem-97m2-venda-RS600000-id-2671508127/,"Bento Ferreira, Vitória - ES",N/A,97,Apartamento,3   Quartos,2   Banheiros,1   Vaga,R$ 600.000
/imovel/sala-comercial-santa-luiza-bairros-vitoria-47m2-venda-RS160000-id-2670930899/,"Santa Luíza, Vitória - ES",N/A,47,Sala/Conjunto,--   Quarto,1   Banheiro,--   Vaga,R$ 160.000
/imovel/apartamento-3-quartos-praia-do-canto-bairros-vitoria-com-garagem-100m2-venda-RS700000-id-2670960131/,"Rua José Teixeira, 880 - Praia do Canto, Vitória - ES",N/A,100,Apartamento,3   Quartos,3   Banheiros,2   Vagas,R$ 700.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-60m2-venda-RS559000-id-2671373338/,"Avenida Governador Eurico Rezende, 90 - Jardim Camburi, Vitória - ES",N/A,60,Apartamento,2   Quartos,2   Banheiros,2   Vagas,R$ 559.000
/imovel/apartamento-3-quartos-jardim-da-penha-bairros-vitoria-com-garagem-116m2-venda-RS950000-id-2670951777/,"Rua Maria Eleonora Pereira, 505 - Jardim da Penha, Vitória - ES",N/A,116,Apartamento,3   Quartos,3   Banheiros,2   Vagas,R$ 950.000
/imovel/sala-comercial-centro-bairros-vitoria-com-garagem-30m2-venda-RS52000-id-2671435820/,"Rua Henrique Novaes - Centro, Vitória - ES",N/A,30,Sala/Conjunto,--   Quarto,--   Banheiro,1   Vaga,R$ 52.000
/imovel/apartamento-2-quartos-praia-do-sua-bairros-vitoria-com-garagem-61m2-venda-RS610888-id-2661662956/,"Rua Desembargador Ferreira Coelho - Praia do Sua, Vitória - ES",N/A,61,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 610.888
/imovel/apartamento-2-quartos-parque-moscoso-bairros-vitoria-70m2-venda-RS260000-id-2671509434/,"Parque Moscoso, Vitória - ES",N/A,70,Apartamento,2   Quartos,1   Banheiro,--   Vaga,R$ 260.000
/imovel/apartamento-2-quartos-jardim-da-penha-bairros-vitoria-com-garagem-60m2-venda-RS480000-id-2654224856/,"Rua Natalina Daher Carneiro, 176 - Jardim da Penha, Vitória - ES",N/A,60,Apartamento,2   Quartos,1   Banheiro,1   Vaga,R$ 480.000
/imovel/apartamento-1-quartos-santa-lucia-bairros-vitoria-40m2-venda-RS200000-id-2671356003/,"Santa Lúcia, Vitória - ES",N/A,40,Apartamento,1   Quarto,1   Banheiro,--   Vaga,R$ 200.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-89m2-venda-RS967820-id-2671322030/,"Jardim Camburi, Vitória - ES",N/A,89,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 967.820
/imovel/apartamento-3-quartos-bento-ferreira-bairros-vitoria-com-garagem-98m2-venda-RS845000-id-2656661404/,"Rua Francisco Rubim, 222 - Bento Ferreira, Vitória - ES",N/A,98,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 845.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-89m2-venda-RS750000-id-2626980782/,"Rua Waldir Soares de Mello, 160 - Jardim Camburi, Vitória - ES",N/A,89,Apartamento,3   Quartos,3   Banheiros,2   Vagas,R$ 750.000
/imovel/sala-comercial-santa-luiza-bairros-vitoria-com-garagem-32m2-venda-RS330000-id-2663458769/,"Avenida Nossa Senhora da Penha - Santa Luíza, Vitória - ES",N/A,32,Sala/Conjunto,--   Quarto,1   Banheiro,1   Vaga,R$ 330.000
/imovel/apartamento-2-quartos-praia-do-sua-bairros-vitoria-com-garagem-70m2-venda-RS530000-id-2629951237/,"Rua Dukla de Aguiar, 113 - Praia do Sua, Vitória - ES",N/A,70,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 530.000
/imovel/apartamento-2-quartos-maruipe-bairros-vitoria-com-garagem-57m2-venda-RS310000-id-2671703716/,"Rua Rui Barbosa, 111111 - Maruípe, Vitória - ES",N/A,57,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 310.000
/imoveis-lancamento/dona-guilhermina-direto-construtora-2659392154/,"Rua Madeira de Freitas, 249 - Praia do Canto, Vitória - ES",N/A,100,DONA,3   Quartos,3   Banheiros,2   Vagas,R$ 980.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-91m2-venda-RS400000-id-2671564066/,"Rua Milton Manoel dos Santos, 152 - Jardim Camburi, Vitória - ES",N/A,91,Apartamento,3   Quartos,3   Banheiros,2   Vagas,R$ 400.000
/imovel/sobrado-3-quartos-mata-da-praia-bairros-vitoria-com-garagem-200m2-venda-RS620000-id-2671295603/,"Rua Paulo Silva, 50 - Mata da Praia, Vitória - ES",N/A,200,Casa,3   Quartos,3   Banheiros,2   Vagas,R$ 620.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-72m2-venda-RS640000-id-2671415461/,"Rua Milton Ramalho Simões, 130 - Jardim Camburi, Vitória - ES",N/A,72,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 640.000
/imovel/apartamento-3-quartos-jardim-camburi-bairros-vitoria-com-garagem-80m2-venda-RS395000-id-2671519915/,"Rua Agenor Amaro dos Santos, 100 - Jardim Camburi, Vitória - ES",N/A,80,Apartamento,3   Quartos,2   Banheiros,2   Vagas,R$ 395.000
/imovel/apartamento-2-quartos-jardim-da-penha-bairros-vitoria-com-garagem-74m2-venda-RS350000-id-2671809313/,"Rua Arthur Czartoryski, 295 - Jardim da Penha, Vitória - ES",N/A,74,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 350.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-60m2-venda-RS530000-id-2671389701/,"Rua Manoel Barros da Costa - Jardim Camburi, Vitória - ES",N/A,60,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 530.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-68m2-venda-RS701311-id-2671629719/,"Jardim Camburi, Vitória - ES",N/A,68,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 701.311
/imovel/apartamento-3-quartos-enseada-do-sua-bairros-vitoria-com-garagem-100m2-venda-RS1320000-id-2671625669/,"Rua José Alexandre Buaiz - Enseada do Suá, Vitória - ES",N/A,100,Apartamento,3   Quartos,4   Banheiros,2   Vagas,R$ 1.320.000
/imovel/sala-comercial-santa-lucia-bairros-vitoria-com-garagem-34m2-venda-RS200000-id-2653404456/,"Santa Lúcia, Vitória - ES",N/A,34,Sala/Conjunto,--   Quarto,1   Banheiro,1   Vaga,R$ 200.000
/imovel/apartamento-2-quartos-jardim-camburi-bairros-vitoria-com-garagem-67m2-venda-RS590000-id-2664473798/,"Rua Esméria Barros Deorce, 470 - Jardim Camburi, Vitória - ES",N/A,67,Apartamento,2   Quartos,2   Banheiros,1   Vaga,R$ 590.000
/imovel/apartamento-3-quartos-jardim-da-penha-bairros-vitoria-com-garagem-90m2-venda-RS580000-id-2671513493/,"Jardim da Penha, Vitória - ES",N/A,90,Apartamento,3   Quartos,3   Banheiros,1   Vaga,R$ 580.000
